"address","price","postal_code","residence_type","floor_size","number_of_bathrooms","number_of_bedrooms","street_address","latitude","longitude","year_built","garage","pool","house_type"
"0 Coolidge Ave #CH, Boston, MA 02114 - Condo For Sale","1495000","2114","SingleFamilyResidence","1360","2 / 1","3","0 Coolidge Ave #CH","42.360329","-71.063728","1850","0","community-pool","condominium"
"40 Hancock St #1, Boston, MA 02125 - Condo For Sale","379900","2125","SingleFamilyResidence","700","1","1","40 Hancock St #1","42.314373","-71.065426","2006","0","0.02 acres","condominium"
"7 Commonwealth Ct #5, Boston, MA 02135 - Condo For Sale","380000","2135","SingleFamilyResidence","686","1","1","7 Commonwealth Ct #5","42.346052","-71.14028","1964","0","No","condominium"
"30 Copeland St #1, Boston, MA 02119 - Condo For Sale","699000","2119","SingleFamilyResidence","1416","2 / 1","3","30 Copeland St #1","42.322363","-71.08086","1890","1","community-pool","condominium"
"135 Marlborough St #3, Boston, MA 02116 - Condo For Sale","899000","2116","SingleFamilyResidence","765","1","1","135 Marlborough St #3","42.353215","-71.078353","1880","0","No","condominium"
"Open House: 11:30 AM - 1:00 PM at 135 Marlborough St #3","899000","","v","","","","","","","","","",""
"133 Seaport Blvd #708, Boston, MA 02210 - Condo For Sale","2679000","2210","SingleFamilyResidence","1494","2 / 1","2","133 Seaport Blvd #708","42.350508","-71.043615","2018","2","community-pool, private-pool","condominium"
"240 Devonshire St #3708, Boston, MA 02110 - Condo For Sale","2985000","2110","SingleFamilyResidence","1667","2 / 1","2","240 Devonshire St #3708","42.35458","-71.057112","2023","1","No","condominium"
"240 Devonshire St #4107, Boston, MA 02110 - Condo For Sale","1495000","2110","SingleFamilyResidence","781","1","1","240 Devonshire St #4107","42.35458","-71.057112","2023","0","No","condominium"
"240 Devonshire St #5412, Boston, MA 02110 - Condo For Sale","4275000","2110","SingleFamilyResidence","1989","3","3","240 Devonshire St #5412","42.35458","-71.057112","2023","1","community-pool","condominium"
"400 Stuart St #17K, Boston, MA 02116 - Condo For Sale","1300000","2116","SingleFamilyResidence","850","1","1","400 Stuart St #17K","42.348908","-71.073778","2009","1","No","condominium"
